title,subtitle,authors,categories,average_rating,num_pages,ratings_count,published_year,combined_features
Pirates of the Caribbean: The Siren Song - Jack Sparrow Book #2,Junior Novel,Rob Kidd,Juvenile Fiction,3.86,123.0,832.0,2006.0,"Pirates of the Caribbean: The Siren Song - Jack Sparrow Book #2Junior NovelRob KiddJuvenile FictionStill on a mission to find the legendary Sword of Cortâes, the crew of the Barnacle becomes entranced by an ethereal song that pulls them away from their mission, leaving Captain Jack Sparrow to have to find the source behind the dark spell."
Pirates of the Caribbean: Jack Sparrow #3 - the Pirate Chase,Junior Novel,Rob Kidd,Juvenile Fiction,3.89,119.0,713.0,2006.0,"Pirates of the Caribbean: Jack Sparrow #3 - the Pirate ChaseJunior NovelRob KiddJuvenile FictionJack and company are hot on the trail of the notorious pirate Left Foot Louis, who they believe is currently in possession of the Sword of Cort‚s, but the newly appointed first mate Arabella has a personal score to settle with Louis that could jeopardize the entire mission. Original."
Surfer's Code,12 Simple Lessons for Riding Through Life,Shaun Tomson;Patrick J. Moser,Self-Help,3.81,192.0,109.0,2006.0,"Surfer's Code12 Simple Lessons for Riding Through LifeShaun Tomson;Patrick J. MoserSelf-HelpSurfing has been described as a sport, religion, obsession and way of life. For Shaun Tomson, world-champion surfer and successful entrepreneur, surfing is all of that and more. In Surfer's Code, Tomson shares the life lessons he's gathered from many years of surfing-from his boyhood in apartheid South Africa to the world tour in the '70s and '80s."
Kokopelli,"The Magic, Mirth, and Mischief of an Ancient Symbol",Dennis Slifer,Art,3.56,240.0,17.0,2007.0,"KokopelliThe Magic, Mirth, and Mischief of an Ancient SymbolDennis SliferArtA guide to the ancient symbols and sites of the Southewest's most iconic image"
The Trouble with the Pears,An Intimate Portrait of Erzsebet Bathory,Gia Bathory Al Babel,Fiction,2.55,272.0,33.0,2006.0,"The Trouble with the PearsAn Intimate Portrait of Erzsebet BathoryGia Bathory Al BabelFictionPicture a Navy biplane swooping low over the Grand Concourse in the Bronx and a father and son being so scared that the former dropped the auto battery he carried. The pilot was Al Williams, the Navy's first test pilot flying over New York. He had met General Billy Mitchell, who had proved that planes could sink battleships with bombs. Williams developed inverted flight and diving from great heights to gain speed in air races a tactic later pilots developed into dive bombing. Williams fought for air power rather than for battleships, a trait that did not endear him to F.D.R. He encouraged thousands to become air-minded and to serve in WWII. He wrote with conviction for air power."
Living with the Passive-Aggressive Man,Coping with Hidden Aggression--from the Bedroom to,Scott Wetzler,Psychology,,,,2011.0,"Living with the Passive-Aggressive ManCoping with Hidden Aggression--from the Bedroom toScott WetzlerPsychologyWith more than 100,000 copies in print, Living with the Passive-Aggressive Man draws on case histories from clinical psychologist Scott Wetzler’s practice to help you identify the destructive behavior, the root causes and motivations, and solutions. Do you know one of these men? The catch-me-if-you-can lover... Phil’s romantic and passionate one minute, distant and cold the next. The deviously manipulative coworker or boss... Jack denies resenting Nora’s rapid rise in the company, but when they’re assigned to work together on a project, he undermines her. The obstructionist, procrastinating husband... Bob keeps telling his wife he’ll finish the painting job he began years ago, but he never seems to get around to it. These are all classic examples of the passive-aggressive man. This personality syndrome—in which hostility wears a mask of passivity—is currently the number one source of men’s problems in relationships and on the job. In Living with the Passive-Aggressive Man, Scott Wetzler draws upon numerous case histories from his own practice to explain how and why the passive-aggressive man thinks, feels, and acts the way he does. Dr. Wetzler also offers advice on: • How to avoid playing victim, manager, or rescuer to the “P-A” • How to get his anger and fear into the open • How to help the “P-A” become a better lover, husband, and father • How to survive passive-aggressive game playing on the job Living with a man’s passive aggression can be an emotional seesaw ride. But armed with this book, you can avoid the bumpy landings."
No Cherubs for Melanie,An Inspector Bliss Mystery,James Hawkins,Fiction,4.0,394.0,8.0,2002.0,"No Cherubs for MelanieAn Inspector Bliss MysteryJames HawkinsFictionMelanie Gordonstone, a cherubic six-year-old, was Daddy's favourite in every way, but her life ended tragically when she drowned in a backyard pond. Inexperience led young English detective David Bliss to attribute the girl's death to an accident, but since that time he has been haunted by doubts about his original conclusion. Now, more than twenty years later, Melanie's father has died, and toxicology reports indicate that he was murdered. Bliss begins to suspect Melanie's sister, Margaret, who lives in a remote community in northern Ontario. But could Margaret have killed her father from half a world away? Bliss's unauthorized investigation brings him overseas to Canada in search of Margaret - and answers. As he gets closer to the truth, he uncovers the disturbing secrets that have destroyed the Gordonstone family."
Bite Me!,An Unofficial Guide to the World of Buffy the Vampire Slayer,Nikki Stafford,Performing Arts,4.13,450.0,326.0,2002.0,"Bite Me!An Unofficial Guide to the World of Buffy the Vampire SlayerNikki StaffordPerforming ArtsRevised and updated to include information about all six seasons of Buffy, this ultimate guide to one of televisions hottest shows also includes capsule reviews of the full first three seasons of the spin-off Angel, with more emphasis put on the crossover episodes between the two shows. With full cast bios, plus bios for all of the new cast members who have become major characters in the latest season, this best-seller is bound to keep selling!"
Magic Carpet Ride,The Autobiography of John Kay and Steppenwolf,John Kay;John Einarson,Biography & Autobiography,4.1,372.0,10.0,1994.0,"Magic Carpet RideThe Autobiography of John Kay and SteppenwolfJohn Kay;John EinarsonBiography & AutobiographyAutobiography and stories of John Kay and Steppenwolf, the band that made the rock 'n' roll anthem- ""Born To Be Wild""."
Ecuador Nature Guide,Southwest Forests : Sozoranga Forest Project,Christopher D. Jiggins,Botanique,5.0,96.0,1.0,2000.0,"Ecuador Nature GuideSouthwest Forests : Sozoranga Forest ProjectChristopher D. JigginsBotaniqueThe guide provides information on 76 species of birds, plants, mammals and insects of Ecuador. Each species description is accompanied by an illustration as well as information on ecology, local names and uses. Profits from the sale of this guide will go"
The Governess,"The Governess ; or, The Little Female Academy",Sarah Fielding,Fiction,2.62,242.0,119.0,2005.0,"The GovernessThe Governess ; or, The Little Female AcademySarah FieldingFictionPublished in 1749, the story of Mrs. Teachum and the nine pupils who make up her “little female academy” is widely recognized as the first full-length novel for children, and the first to be aimed specifically at girls. The daily experiences of Mrs. Teachum’s charges are interwoven with fables and fairy tales illustrating the book’s underlying principles, which draw on contemporary theories of education and virtue. As central to the history of the novel as it is to the development of children’s literature, The Governess is a pioneering work by one of the eighteenth century’s most respected women writers. This Broadview edition includes a critical introduction that places The Governess in its cultural and literary context; appendices include examples of eighteenth-century educational literature and selections from Fielding’s correspondence."
The Hound of the Baskervilles,"Another Adventure of Sherlock Holmes, with ""The Adventure of the Speckled Band""",Arthur Conan Doyle,Fiction,4.1,300.0,1347.0,2006.0,"The Hound of the BaskervillesAnother Adventure of Sherlock Holmes, with ""The Adventure of the Speckled Band""Arthur Conan DoyleFictionThe Hound of the Baskervilles (1901–02) is Arthur Conan Doyle’s most celebrated Sherlock Holmes adventure. At the end of the yew tree path of his ancestral home, Sir Charles Baskerville is found dead. Close by are the footprints of a gigantic hound. Called to investigate, Holmes seems to face a supernatural foe. In the tense narration of the detective’s efforts to solve the crime, Conan Doyle meditates on late Victorian and early twentieth-century ideas of ancestry and atavism, the possible biological determination of criminals, the stability of the British landed classes, and the place of the supernatural. Historical documents included with this fully-annotated Broadview edition help contextualize the novel’s debates and reveal its cultural and literary significance as a supreme instance of early detective fiction. Also included is the Conan Doyle short story “The Adventure of the Speckled Band.”"
